Group Name,Day of Week,Military Time HH:MM:SS,Location,Street,City,State,Zip,Tags
Recovering Minds,Sunday,18:00:00,Floyd County Token Club Upstairs,506 Pearl St,New Albany,IN,47150,Open|Discussion
Walkin & Talkin Recovery,Sunday,19:30:00,Community Missionary Baptist Church Annex,4909 Indian Trail,Louisville,KY,40218,Open|Discussion|Wheelchair Accessible
Home Sweet Home,Sunday,19:30:00,Next Step,105 Big Indian Road,Corydon,IN,47112,Open|Discussion
Women's Power Within - Online,Monday,18:30:00,Deer Park Baptist Church,1733 Bardstown Rd,Louisville,KY,40205,Closed|Women Only|Discussion
Against All Odds,Monday,19:30:00,Church Of Our Merciful Savior,473 S. 11th St,Louisville,KY,40203,Open|Discussion
Dope Or Us,Monday,19:30:00,Floyd County Token Club Upstairs,506 Pearl St,New Albany,IN,47150,Open|Discussion
Acceptance Group,Monday,20:00:00,,106 Walnut Street,Irvington,KY,40146,Open|Discussion
Sweet Surrender,Tuesday,19:00:00,St. Luke's United Church of Christ,329 Walnut St,Jeffersonville,IN,47130,Open|Discussion|Speaker
Release the Control,Tuesday,19:30:00,,305 East Walnut St.,Salem,IN,47167,Open|Discussion
End of the Road,Tuesday,19:30:00,Upstairs at the Floyd County Token Club,506 Pearl St,New Albany,IN,47150,Open|Discussion
Home Sweet Home,Wednesday,19:30:00,Next Step,105 Big Indian Road,Corydon,IN,47112,Open|Discussion|Wheelchair Accessible
The Next Right Thing,Wednesday,19:30:00,Upstairs at the Floyd County Token Club,506 Pearl St,New Albany,IN,47150,Open|Discussion
How It Works,Wednesday,19:30:00,Resurrection Church,4100 Southern Parkway,Louisville,KY,40214,Open|Discussion|Wheelchair Accessible
Hope for Us,Thursday,19:00:00,First Presbyterian Church,396 W McClain Ave,Scottsburg,IN,47170,Open|Discussion
Recovery Today,Thursday,19:00:00,Beargrass Christian Church Room 202,4100 Shelbyville Rd,Louisville,KY,40207,Open|Discussion
Sanctuary,Thursday,20:00:00,Upstairs at the Floyd County Token Club,506 Pearl St,New Albany,IN,47150,Open|Chairperson's Choice
The Next Right Thing,Friday,19:30:00,Upstairs at the Floyd County Token Club,506 Pearl St,New Albany,IN,47150,Open|Discussion
Highland Peace,Friday,20:00:00,Highland Baptist Church,1101 Cherokee Rd,Louisville,KY,40204,Open|Speaker|Wheelchair Accessible
Home Sweet Home,Saturday,19:30:00,Next Step,105 Big Indian Road,Corydon,IN,47112,Open|Discussion
The Pop Up Meeting,Saturday,19:30:00,Upstairs at the Floyd County Token Club,506 Pearl St,New Albany,IN,47150,Open|Discussion
Take It E-Z,Saturday,20:00:00,Hillsdale Baptist Church,4714 E Pages Ln,Louisville,KY,40272,Open|Chairperson's Choice
Dope Sux,Saturday,22:30:00,Chapel Of St Philip Neri,236 Woodbine St,Louisville,KY,40208,Open|Chairperson's Choice|Discussion
